product_name,brands,target,image_url,nutriscore_grade
Horlicks,,beverages,https://images.openfoodfacts.org/images/products/506/011/391/7812/front_fr.3.400.jpg,unknown
Tropical Aloe Vera Drink Aloe Multifruit,Tropical,beverages,https://images.openfoodfacts.org/images/products/871/285/797/1441/front_fr.12.400.jpg,e
No Preworkout,Fitnessboutique,beverages,https://images.openfoodfacts.org/images/products/366/207/201/7194/front_fr.27.400.jpg,b
Yorkshire Hard Water Loose Leaf Tea 250G,Taylors,beverages,,b
Yerba maté infusion citron,GINGEUR,beverages,https://images.openfoodfacts.org/images/products/377/000/700/2006/front_fr.14.400.jpg,c
Jus de fruits pommes grenades,Planet Bio,beverages,https://images.openfoodfacts.org/images/products/330/159/100/1009/front_fr.4.400.jpg,d
Sanpellegrino,"Nestlé, San Pellegrino",beverages,https://images.openfoodfacts.org/images/products/800/227/027/6897/front_fr.3.400.jpg,d
Latte Caramel,,beverages,https://images.openfoodfacts.org/images/products/871/028/365/3467/front_fr.3.400.jpg,e
Eafit Boisson énergétique 3H Orange Sanguine,Eafit,beverages,,e
Tropico tropical,Tropico,beverages,https://images.openfoodfacts.org/images/products/332/470/005/7988/front_fr.21.400.jpg,d
Jus de pomme,Triml,beverages,https://images.openfoodfacts.org/images/products/000/002/018/8658/front_fr.4.400.jpg,e
Shweppes Ginger Ale Sweppes,Sweppes,beverages,https://images.openfoodfacts.org/images/products/327/873/000/1957/front_fr.7.400.jpg,d
édition Prestige - Thé Vert Fruit Du Dragon 100 g - Thé De La Pagode,Thès De La Pagode,beverages,,b
Kinley with Minerals,,beverages,https://images.openfoodfacts.org/images/products/890/176/408/2306/front_en.3.400.jpg,unknown
Teegetränk Waldbeere,Lord Nelson,beverages,https://images.openfoodfacts.org/images/products/000/002/092/0340/front_de.38.400.jpg,e
Sugarfree Vanilla,Monin,beverages,https://images.openfoodfacts.org/images/products/305/291/128/6810/front_en.3.400.jpg,unknown
Gerolsteiner Zitronenlimonade,Gerolsteiner,beverages,https://images.openfoodfacts.org/images/products/400/151/300/5571/front_fr.4.400.jpg,e
